email_id,subject,body,sender_email,sender_domain,claimed_company,company_domain,domain_match,free_or_third_party_domain,has_link,has_attachment,mentions_money,mentions_urgency,mentions_personal_info,job_offer_without_interview,label
1,Remote Job Offer – Machine Learning Engineer,We reviewed your profile and would like you to take an assessment test to proceed. Reply within 24 hours. Add me on Microsoft Teams using the link provided.,careers.salesforce@outlook.com,outlook.com,Salesforce,salesforce.com,0,1,1,0,0,1,1,0,1
2,Invitation to Interview and Assessment – Cloud Data Engineer,Your application has been approved. Kindly provide your full address and phone number to proceed. We are hiring urgently.,hrinfo.cisco@gmail.com,gmail.com,Cisco,cisco.com,0,1,0,0,0,1,1,1,1
3,Remote Job Offer – Data Scientist,We reviewed your profile and would like you to take an assessment test to proceed. Reply within 24 hours. Add me on Microsoft Teams using the link provided.,careers.google@gmail.com,gmail.com,Google,google.com,0,1,1,0,0,1,1,0,1
4,Invitation to Interview and Assessment – Data Scientist,Your application has been approved. Kindly provide your full address and phone number to proceed. We are hiring urgently.,recruiting.kpmg@outlook.com,outlook.com,KPMG,kpmg.com,0,1,0,0,0,1,1,1,1
5,Invitation to Interview and Assessment – Cloud Data Engineer,Your application has been approved. Kindly provide your full address and phone number to proceed. We are hiring urgently.,hrinfo.tesla@secure-offer-letter.com,secure-offer-letter.com,Tesla,tesla.com,0,1,0,0,0,1,1,1,1
6,Assessment Test Required – AI Operations Generalist,Congratulations. You have been selected for a remote position. No interview required. Please confirm today to begin onboarding.,recruitment.team@recruit-portal-mail.com,recruit-portal-mail.com,Microsoft,microsoft.com,0,1,0,0,0,1,0,1,1
7,Invitation to Interview and Assessment – Platform Engineer,Your application has been approved. Kindly provide your full address and phone number to proceed. We are hiring urgently.,hiring.jobs-apple@recruit-portal-mail.com,recruit-portal-mail.com,Apple,apple.com,0,1,0,0,0,1,1,1,1
8,Assessment Test Required – Cloud Data Engineer,Congratulations. You have been selected for a remote position. No interview required. Please confirm today to begin onboarding.,careers.amazon@hire-now-careers.com,hire-now-careers.com,Amazon,amazon.jobs,0,1,0,0,0,1,0,1,1
9,Assessment Test Required – Data Analyst,We reviewed your profile and would like you to take an assessment test to proceed. Reply within 24 hours. Add me on Microsoft Teams using the link provided.,assessment.coordinator@gmail.com,gmail.com,KPMG,kpmg.com,0,1,1,0,0,1,1,0,1
10,Remote Job Offer – Platform Engineer,"We offer competitive pay, sign-on bonus, training incentive and remote workstation stipend. Complete the attached assessment and send your responses by end of day.",assessment.coordinator@talent-onboard-now.com,talent-onboard-now.com,JPMorgan Chase,jpmorgan.com,0,1,0,1,1,1,0,0,1
